Time,x,y,yaw,v,acc,steer,Lat,Long,Alt,Roll,Pitch,Yaw,AngVel
135.294836965,233.79617309570312,-37.37643051147461,-89.79245758056643,4.44936466217041,-7.2734459318016595,-0.019005719996421533,-0.0003357931070553377,0.002100230320478126,2.39302396774292,-0.00555420713499187,0.2727021276950836,-89.70678710937499,0.02906196564435959
135.344836966,233.79844665527344,-37.5787239074707,-89.70678710937499,3.8628268241882324,-11.73299354468161,-0.0193170630666033,-0.0003376780188517614,0.0021002499217790335,2.394589900970459,-0.011810328811407079,0.5157475471496582,-89.6250457763672,0.027510354295372963
135.394836967,233.80067443847656,-37.74441146850586,-89.6250457763672,3.105422019958496,-15.150030471015567,-0.022243692477612154,-0.0003392578768597332,0.0021002729498807993,2.3966710567474365,-0.01733399182558061,0.749264895915985,-89.54059600830078,0.028351129963994026
135.544836969,233.80775451660156,-38.020118713378906,-89.36083221435548,0.9128437638282776,-14.202925957574948,-0.07624966672462685,-0.00034194527690090126,0.002100345186842886,2.401291608810425,-0.0628661289811134,1.1849899291992194,-89.33611297607423,0.0044461628422141075
135.64483697,233.80845642089844,-38.03751754760742,-89.33576202392577,0.007250119931995869,-3.933517597795185,-0.07166210173884346,-0.0003421232306521915,0.0021003758909785737,2.4017255306243896,-0.09637440741062159,0.936002254486084,-89.3358154296875,-9.709812002256513e-05
135.694836971,233.8084259033203,-38.03874588012695,-89.3358154296875,0.012160911224782467,-0.019799378052148698,-0.07183383139895527,-0.00034205962921873834,0.002100377261698917,2.400102138519287,-0.0936889424920082,0.7108997106552122,-89.33567047119139,-6.130931433290243e-05
135.794836973,233.8084259033203,-38.0413703918457,-89.33552551269531,0.0107681043446064,-0.027989369271333723,-0.07192363310370631,-0.0003419220431908343,0.0021003719158895783,2.396557331085205,-0.08114624023437503,0.3433535993099213,-89.33544158935547,-3.57803946826607e-05
135.894836974,233.8084716796875,-38.04310989379883,-89.33535003662111,0.006478621158748865,-0.04336297663508938,-0.07207962891893827,-0.00034182934822979405,0.0021003667071522744,2.394120693206787,-0.0716857835650444,0.1310713291168213,-89.33531951904297,-2.0900570234516636e-05
135.944836975,233.80853271484375,-38.043643951416016,-89.33531951904297,0.00460076704621315,-0.037594195041635546,-0.07212420435334765,-0.0003418008714959342,0.0021003653364319312,2.3933608531951904,-0.06884764879941939,0.07059000432491304,-89.33529663085936,-1.4732100680703297e-05
135.994836976,233.8085479736328,-38.04400634765625,-89.33529663085936,0.00203465623781085,-0.021777043428135703,-0.07216287675136446,-0.0003417813729953423,0.0021003641027836223,2.392836570739746,-0.06695554405450822,0.030817812308669094,-89.33527374267577,-9.868593224382494e-06
136.094836977,233.80859375,-38.04439163208008,-89.33527374267578,0.0012753686169162393,-0.015205589042648501,-0.0721779506577116,-0.00034175546639403365,0.002100362732063279,2.392129421234131,-0.06497190892696382,-0.009712528437376019,-89.3352737426758,-3.864558493660297e-06
136.194836979,233.80860900878906,-38.04453659057617,-89.33528900146484,0.0004431835259310901,-0.006523881103208952,-0.07217860604494408,-0.00034175258787172424,0.002100362732063279,2.392047882080078,-0.06417845934629442,-0.023673433810472492,-89.33527374267578,-3.1997897167457268e-06
136.244836979,233.80860900878906,-38.0445671081543,-89.33527374267578,0.0002425345592200756,-0.00403164430120184,-0.07218384914280396,-0.00034175097729871595,0.0021003624579192105,2.3920021057128906,-0.0639953538775444,-0.02626207657158376,-89.33529663085939,-1.6464222198919742e-06
136.29483698,233.80860900878906,-38.04458236694336,-89.33529663085939,0.0001241621357621625,-0.0023868233676542926,-0.07218057220664154,-0.0003417501548454993,0.0021003624579192105,2.3919777870178223,-0.06387327611446379,-0.02747101895511151,-89.33530426025392,-7.593350233037199e-07
136.344836981,233.80860900878906,-38.04459762573242,-89.33534240722659,2.3416911062668078e-05,-0.0007256396836255681,-0.07218319375557147,-0.00034174977791678884,0.0021003623208471762,2.391965627670288,-0.06381225585937501,-0.027914982289075865,-89.33534240722659,-2.798101661483088e-07
136.444836982,233.80860900878906,-38.04459762573242,-89.33534240722659,9.324573511548806e-06,-0.00036544708441686876,-0.07218450453003644,-0.00034174964081046255,0.0021003623208471762,2.3919594287872314,-0.06381225585937501,-0.027914982289075865,-89.33534240722659,6.110728634212137e-08
136.494836983,233.80860900878906,-38.04459762573242,-89.33534240722659,9.121815310209058e-06,-0.0001554074967022513,-0.07218581530450141,-0.00034174964081046255,0.0021003623208471762,2.3919594287872314,-0.06381225585937501,-0.027914982289075865,-89.33534240722659,9.398345923727902e-08
136.544836984,233.80860900878906,-38.04459762573242,-89.33534240722659,9.14375141292112e-06,-7.054026642586296e-05,-0.07218581530450141,-0.00034174964081046255,0.0021003623208471762,2.3919594287872314,-0.06381224095821379,-0.027785208076238625,-89.33536529541016,9.28131171917812e-08
136.644836985,233.80860900878906,-38.044593811035156,-89.33537292480472,6.557786036864854e-06,-3.757642438369146e-05,-0.07218581530450141,-0.00034174970937783655,0.0021003623208471762,2.3919615745544434,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,6.027343601999746e-08
136.694836986,233.80860900878906,-38.04458999633789,-89.33537292480472,4.9226023293158505e-06,-3.281022194463792e-05,-0.07218515991726893,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,4.3296715546148334e-08
136.794836988,233.80860900878906,-38.04458999633789,-89.33537292480472,1.920832119139959e-06,-2.1123743634515735e-05,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,1.9572468090700568e-08
136.94483699,233.80860900878906,-38.04458999633789,-89.33537292480472,1.0079385219796677e-06,-9.065260630650927e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,4.335571013314166e-09
136.99483699,233.80860900878906,-38.04458999633789,-89.33537292480472,6.468684432547889e-07,-7.506770321894424e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,3.2476115130464223e-09
137.094836992,233.80860900878906,-38.04458999633789,-89.33537292480472,6.126956577645615e-07,-5.860700795882694e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,2.885018890452784e-10
137.144836993,233.80860900878906,-38.04458999633789,-89.33537292480472,7.439268756570527e-07,-5.354071181288084e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,-4.9666583346041904e-11
137.294836995,233.80860900878906,-38.04458999633789,-89.33537292480472,6.867823003631202e-07,-4.5343794204302696e-07,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,-1.46256312616444e-10
137.394836996,233.80860900878906,-38.04458999633789,-89.33537292480472,6.876425118207408e-07,-8.363199969414685e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,-2.0092974506447092e-10
137.494836998,233.80860900878906,-38.04458999633789,-89.33537292480472,6.500401354969654e-07,-7.778320082877918e-07,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,6.696490029156621e-10
137.544836999,233.80860900878906,-38.04458999633789,-89.33537292480472,2.486161463366443e-07,-8.866056980685337e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,3.6524461233256034e-10
137.694837001,233.80860900878906,-38.04458999633789,-89.33537292480472,5.944052077211381e-07,-8.355404977488017e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,-2.302255053265867e-10
137.744837002,233.80860900878906,-38.04458999633789,-89.33537292480472,5.777853289146151e-07,-5.465618095960383e-07,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,3.039412610483794e-10
137.794837002,233.80860900878906,-38.04458999633789,-89.33537292480472,1.8074476315632637e-07,-9.112560561314645e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,-4.4683287625524315e-10
137.844837003,233.80860900878906,-38.04458999633789,-89.33537292480472,5.201131898502354e-07,-8.007721786336955e-06,-0.07218450453003644,-0.00034174970937783655,0.0021003623208471762,2.3919622898101807,-0.06381224840879439,-0.02766226418316365,-89.33537292480472,-2.26497334776532e-10
